AWP | Asiimov (Battle-Scarred),4600,5320,Skinwallet,Csgoroll,1646651670500,1646669595580,720
★ Classic Knife | Stained (Field-Tested),8220,9821,Bitskins,Csgoroll,1646685696993,1646736555043,1601
★ Specialist Gloves | Crimson Web (Well-Worn),16712,19301,Skinscash,Csgoroll,1646655012826,1646753224854,2589
StatTrak™ M4A1-S | Chantico's Fire (Field-Tested),4330,4979,Skinscash,Csgoroll,1646748638839,1646757402345,649
★ Flip Knife | Rust Coat (Battle-Scarred),9160,10503,Dmarket,Csgoroll,1646759878872,1646772316252,1343
StatTrak™ AWP | Asiimov (Field-Tested),16962,19096,Skinwallet,Csgoroll,1646750433549,1646782592998,2134
AWP | Graphite (Factory New),11000,13231,Skinwallet,Csgoroll,1646772667094,1646815327936,2231
AWP | Asiimov (Field-Tested),7841,9139,Dmarket,Csgoroll,1646733060760,1646815806193,1298
M4A1-S | Printstream (Field-Tested),7000,8184,Bitskins,Csgoroll,1646689744462,1646816366622,1184
AK-47 | Bloodsport (Minimal Wear),4430,4979,Skinscash,Csgoroll,1646817011911,1646818844890,549
AWP | Asiimov (Field-Tested),7920,9139,Bitskins,Csgoroll,1646747886662,1646819300580,1219
AK-47 | Fuel Injector (Field-Tested),7000,8184,Bitskins,Csgoroll,1646717274971,1646820068288,1184
AWP | Asiimov (Battle-Scarred),4700,5388,Bitskins,Csgoroll,1646786294083,1646820984280,688
★ Karambit,46591,52309,Skinscash,Csgoroll,1646817018082,1646822743539,5718
M4A1-S | Hyper Beast (Factory New),7602,8661,Skinwallet,Csgoroll,1646750373940,1646822988038,1059
StatTrak™ AK-47 | Legion of Anubis (Factory New),6231,6684,Skinscash,Csgoroll,1646817016235,1646822992836,453
AK-47 | Fuel Injector (Well-Worn),4900,5592,Skinscash,Csgoroll,1646748638660,1646823323310,692
AWP | Oni Taiji (Field-Tested),16340,18346,Bitskins,Csgoroll,1646630771387,1646847371706,2006
★ Moto Gloves | Transport (Field-Tested),7652,8661,Dmarket,Csgoroll,1646759878981,1646848105727,1009
M4A1-S | Player Two (Minimal Wear),4254,4842,Skinscash,Csgoroll,1646748640563,1646851263592,588
★ Falchion Knife | Urban Masked (Field-Tested),6236,6956,Dmarket,Csgoroll,1646752378037,1646853961691,720
AWP | Asiimov (Battle-Scarred),4794,5388,Skinscash,Csgoroll,1646817016064,1646855687275,594
★ Hand Wraps | Spruce DDPAT (Field-Tested),7973,9002,Skinwallet,Csgoroll,1646672274899,1646857365869,1029
★ Gut Knife | Lore (Field-Tested),10344,11799,Bitskins,Csgoroll,1646750879966,1646858308705,1455
